title,url,category,publication_date
Zhuangzi and That Bloody Butterfly,https://philosophynow.org/issues/76/Zhuangzi_And_That_Bloody_Butterfly,philosophy,2009-11
Use and Mention,https://cs.lmu.edu/~ray/notes/usemention/,philosophy,2014-10-18
The Normative Status of Logic,https://plato.stanford.edu/entries/logic-normative/,philosophy,2016-12-22
The Interpretation of Probability: Still an Open Issue?,https://www.mdpi.com/2409-9287/2/3/20,philosophy,2017-08-29
It's All Bullsh*t! On the Relationship Between Pseudoscience and Pseudophilosophy,https://medium.com/socrates-cafe/its-all-bullshit-on-the-relationship-between-pseudoscience-and-pseudophilosophy-3485ade26500,philosophy,2021-03-18
So You Want to Study Philosophy...,https://www.susanrigetti.com/philosophy,philosophy,2021-04-27
Gift,https://pastebin.com/raw/9fVLX21s,poetry,1968
The Revolution Will Not Be Televised,https://archive.org/details/spokenwordrevolu0000elev/page/214/mode/2up?view=theater,poetry,1970
Crows,https://www.newyorker.com/magazine/2000/09/25/crows,poetry,2000-09-17
All of the Words on a Bottle of Rolling Rock Beer in a Different Order,https://web.archive.org/web/20040603022843/http://slate.msn.com/id/2101150/sidebar/2101284/ent/0/,poetry,2004-06-03
Want Song,https://www.mtpr.org/2015-07-13/want-song,poetry,2005-04-01
Two-Headed Calf,https://rolfpotts.com/two-headed-calf-by-laura-gilpin/,poetry,2008-01-01
Autopsy,https://pastebin.com/raw/npCuYjLj,poetry,2009-01-09
Nothing Is Too Small Not To Be Wondered About,https://thevalueofsparrows.wordpress.com/2017/05/20/poetry-nothing-is-too-small-not-to-be-wondered-about-by-mary-oliver/,poetry,2017-05-20
Miscreant Insects,https://twitter.com/mogwai_poet/status/1335354217335148546,poetry,2020-12-05
Nausicaä,https://www.newyorker.com/magazine/2023/06/12/nausicaa-frank-x-gaspar-poem,poetry,2023-06-12
Meat Eater No. 5,https://www.newyorker.com/magazine/2023/10/30/meat-eater-no-5-carmen-maria-machado-poem,poetry,2023-10-23
Disinhibitor,https://www.newyorker.com/magazine/2023/12/18/disinhibitor-ariana-reines-poem,poetry,2023-12-11
Late Shift,https://www.newyorker.com/magazine/2024/03/18/late-shift-amy-woolard-poem,poetry,2024-03-11
To Explicate Meaning,https://pastebin.com/raw/kFML7mRK,poetry,
The Hymn,https://www.newyorker.com/magazine/2024/04/01/the-hymn-marie-howe-poem,poetry,2024-03-25
Laundry,https://www.newyorker.com/magazine/2024/05/06/laundry-ellen-bass-poem,poetry,2024-04-29
A Recipe for Steaming Almost-Dragon,https://lectures.org/2023/01/16/a-recipe-for-steaming-almost-dragon-by-diane-sun/,poetry,2023-01-16
This Living,https://www.newyorker.com/magazine/2024/06/10/this-living-amber-tamblyn-poem,poetry,2024-06-03
Productivity 101: An Introduction to The Pomodoro Technique,https://lifehacker.com/productivity-101-a-primer-to-the-pomodoro-technique-1598992730,productivity,2019-07-12
How a Lazy Bitch Like Me Learned To Be Productive,https://www.madisontaskett.com/lazy-bastard-productivity/,productivity,2020-05-10
The Case Against Collaboration,https://paulitaylor.com/2022/05/06/the-case-against-collaboration/,productivity,2022-05-06
Effective Spaced Repetition,https://borretti.me/article/effective-spaced-repetition,productivity,2023-04-10
Finish Your Projects,https://github.com/readme/guides/finish-your-projects,productivity,2023-06-13
Stopping at 90%,https://austinhenley.com/blog/90percent.html,productivity,2023-07-31
In This Essay I Will: On Distraction,https://www.theparisreview.org/blog/2023/08/23/in-this-essay-i-will-on-distraction/,productivity,2023-08-23
Why Aren't Smart People Happier?,https://experimentalhistory.substack.com/p/why-arent-smart-people-happier,psychology,2022-08-09
Notes on Puzzles,https://nabeelqu.substack.com/p/notes-on-puzzles,psychology,2023-07-11
The Fragile Connection Between Liking And Wanting Is Crucial To Our Survival ,http://thekramerisnow.blogspot.com/2024/03/the-fragile-connection-between-liking.html,psychology,2024-03-15
The Battle for Attention,https://www.newyorker.com/magazine/2024/05/06/the-battle-for-attention,psychology,2024-04-29
"Second Person, Present Tense",https://www.baen.com/Chapters/9781618248992/9781618248992___2.htm,short fiction,2011-11-01
MMAcevedo,https://qntm.org/mmacevedo,short fiction,2021-01-04
Upstate,https://www.newyorker.com/magazine/2023/10/30/upstate-fiction-emma-cline,short fiction,2023-10-23
Break It Down,https://www.theparisreview.org/fiction/3063/break-it-down-lydia-davis,short fiction,1983
The Most Stylish Man Alive,https://dieworkwear.com/2019/04/20/the-most-stylish-man-alive/,style,2019-04-20
"How To Develop Good Taste, Pt. 1",https://dieworkwear.com/2022/08/26/how-to-develop-good-taste-pt-1/,style,2022-08-26
"How To Develop Good Taste, Pt. 2",https://dieworkwear.com/2022/09/14/how-to-develop-good-taste-pt-2/,style,2022-09-14
"How To Develop Good Taste, Pt. 3",https://dieworkwear.com/2022/09/23/how-to-develop-good-taste-pt-3/,style,2022-09-23
Articles of Interest - American Ivy,https://articlesofinterest.substack.com/p/american-ivy-chapter-1,style,2022-10-26
Why Nothing Works Anymore,https://www.theatlantic.com/technology/archive/2017/02/the-singularity-in-the-toilet-stall/517551/,computers & the web,2017-02-23
PolitePol RSS Feed Generator,https://politepol.com/en/,computers & the web,2018
The Rise and Demise of RSS ,https://twobithistory.org/2018/12/18/rss.html,computers & the web,2018-12-18
The Bitter Lesson,http://www.incompleteideas.net/IncIdeas/BitterLesson.html,computers & the web,2019-03-13
Socialism's DIY Computer,https://tribunemag.co.uk/2020/07/make-your-own-self-managed-socialist-microcomputer,computers & the web,2020-07-12
How and Why I Stopped Buying New Laptops,https://solar.lowtechmagazine.com/2020/12/how-and-why-i-stopped-buying-new-laptops/,computers & the web,2020-12-20
How To Take Back the Internet by Choosing the Internet Less Traveled,https://cheapskatesguide.org/articles/take-back-the-internet.html,computers & the web,2021-04-01
The Small Website Discoverability Crisis,https://www.marginalia.nu/log/19-website-discoverability-crisis/,computers & the web,2021-09-08
The Old Internet Shows Signs of Quietly Coming Back,https://cheapskatesguide.org/articles/old-internet-coming-back.html,computers & the web,2022-01-24
Why We Should Have Markdown Rendered Websites,https://proofinprogress.com/posts/2022-11-10/why-we-should-have-markdown-rendered-websites.html,computers & the web,2022-11-10
TikTok's Enshittification,https://pluralistic.net/2023/01/21/potemkin-ai/#hey-guys,computers & the web,2023-01-21
The False Promise of ChatGPT,https://www.nytimes.com/2023/03/08/opinion/noam-chomsky-chatgpt-ai.html,computers & the web,2023-03-08
"We Need More of Richard Stallman, Not Less",https://ploum.net/2023-06-19-more-rms.html,computers & the web,2023-06-19
Generative AI Should Not Replace Thinking at My University,https://www.theatlantic.com/ideas/archive/2023/06/generative-artificial-intelligence-universities/674473/,computers & the web,2023-06-22
Splitting the Web,https://ploum.net/2023-08-01-splitting-the-web.html,computers & the web,2023-08-01
The Negative Impact of Mobile-First Web Design on Desktop,https://www.nngroup.com/articles/content-dispersion/,computers & the web,2023-10-13
Internet Artifacts,https://neal.fun/internet-artifacts/,computers & the web,2023-11-01
Where Have All the Websites Gone?,https://www.fromjason.xyz/p/notebook/where-have-all-the-websites-gone/,computers & the web,2024-01-08
AI Does Not Exist But It Will Ruin Everything Anyway,https://www.youtube.com/watch?v=EUrOxh_0leE,computers & the web,2023-07-16
We Need To Rewild The Internet,https://www.noemamag.com/we-need-to-rewild-the-internet/,computers & the web,2024-04-16
A Handwriting Manual,https://archive.org/details/AHandwritingManual/,typography & handwriting,1975
Notes on Type Design,https://help.fontlab.com/fontlab/8/tutorials/briem/,typography & handwriting,1996
Three Typefaces for Mathematics,https://web.archive.org/web/20091229042035/http://www.typeculture.com/academic_resource/articles_essays/pdfs/tc_article_47.pdf,typography & handwriting,2007-09
Type Hunting,https://typehunting.com/,typography & handwriting,2012-09-09
How to Write 225 Words Per Minute With a Pen,https://www.theatlantic.com/technology/archive/2014/06/yeah-i-still-use-shorthand-and-a-smartpen/373281/,typography & handwriting,2014-06-24
Let's Talk About Margins,https://medium.com/message/lets-talk-about-margins-14646574c385,typography & handwriting,2014-08-18
Counterspace Typography Timeline,https://timeline.counterspace.us/,typography & handwriting,2020-09-23
A 17th-Century Font in a 21st-Century Thesis,https://www.linyangchen.com/Typography-Fell-Types-font,typography & handwriting,2021-06-21
"The Doves Type, Revisited",https://www.typeroom.eu/the-doves-type-revisited-robert-green-upgrades-an-iconic-typeface,typography & handwriting,2022-11-28
Visual History of the Latin Alphabet,https://uclab.fh-potsdam.de/arete/en,typography & handwriting,2022
"Lloyd Reynolds, Robert Palladino, and Calligraphy at Reed College",https://www.reed.edu/calligraphy/history.html,typography & handwriting,
Badness 0 (Apostrophe's version),https://www.youtube.com/watch?v=Y65FRxE7uMc,typography & handwriting,2024-06-07
50 Reasons Why Everyone Should Want More Walkable Streets,https://www.fastcompany.com/3062989/50-reasons-why-everyone-should-want-more-walkable-streets,urbanism,2016-08-24
Is Urban Cycling Worth the Risk?,https://ig.ft.com/sites/urban-cycling/,urbanism,2016-09-02
The Housing Theory of Everything,https://worksinprogress.co/issue/the-housing-theory-of-everything,urbanism,2021-09-14
The People Who Hate People,https://www.theatlantic.com/ideas/archive/2022/05/population-growth-housing-climate-change/629952/,urbanism,2022-05-24
What I Mean When I Say 'Ban Cars',https://jalopnik.com/what-i-mean-when-i-say-ban-cars-1849122955,urbanism,2022-06-29
Why Canadian Cities Just Generally Suck,https://www.canadaland.com/jason-slaughter-why-canadian-cities-suck/,urbanism,2022-08-15
There's No Such Thing as Affordable Housing,https://www.strongtowns.org/journal/2023/1/3/theres-no-such-thing-as-affordable-housing,urbanism,2023-01-04
The Hidden Force That Shapes Everything Around Us: Parking,https://www.vox.com/23712664/parking-lots-urban-planning-cities-housing,urbanism,2023-05-09
Urbanism: Insidious Globalist Conspiracy or Self-Evident Common Sense?,https://www.youtube.com/watch?v=NzBMAwZlVd8,urbanism,2023-09-20
The Trouble with Billboards,https://adfreecities.org.uk/the-trouble-with-billboards/,urbanism,2021-04-20
Who Owns the Streets? How Cars Took Over Our Shared Spaces,https://www.youtube.com/watch?v=GKRaNyvMxjU,urbanism,2023-11-26
Car Harm: A Global Review of Automobility’s Harm to People and the Environment,https://www.sciencedirect.com/science/article/pii/S0966692324000267#bb0390,urbanism,2024-02
Why Kids Don't Go Outside Anymore,https://www.youtube.com/watch?v=W2nB0zchM4I,urbanism,2024-03-16
The Codex Seraphinianus,https://www.thebeliever.net/the-codex-seraphinianus/,visual art,2007-05-01
Henry Darger,https://www.saraayers.com/darger.htm,visual art,2008
Jerry's Map,https://www.jerrysmap.com/what-is-it,visual art,2015-05-29
François Avril: Over the Window,https://hubertybreyne.com/en/expositions/presentation/142/over-the-window,visual art,2015-10-29
"1917‒2017, 100 Years of De Stijl",https://craigberry93.medium.com/1917-2017-100-years-of-de-stijl-581dcc95681,visual art,2017-12-28
Interview with Generative Artist Kjetil Golid,https://www.artnome.com/news/2020/10/11/interview-with-generative-artist-kjetil-golid,visual art,2020-10-11
Democratic Graphics: The Political and Graphic Work of Gerd Arntz 1920‒1940,https://designabilities.wordpress.com/2020/12/11/democratic-graphics-the-political-and-graphic-work-of-gerd-arntz-1920-1940/,visual art,2020-12-11
Ragna Róbertsdóttir,https://www.artforum.com/events/ragna-robertsdottir-248913/,visual art,2021-10
The Impossible World of M. C. Escher,https://www.theguardian.com/artanddesign/2015/jun/20/the-impossible-world-of-mc-escher,visual art,2015-06-20
Tauba Auerbach in 'Bodies of Knowledge',https://art21.org/watch/art-in-the-twenty-first-century/s11/tauba-auerbach-in-bodies-of-knowledge/,visual art,2023-06-23
